id,name,entity_type,category,purpose,artifact_path,status,selected,priority,dependencies,output_type,output_path,version,owner,created_at,source_spec_id,content_hash,config
LIB-OUTPUT,Result Reporter,lib,infrastructure,Standardized output formatting,/lib/output.py,active,yes,P0,,extension,,1.0.0,system,2026-01-30,,8ab6916f7bc06be2fa75328860947e56df71f846eb7bf87cee7f187bf08e6d63,
LIB-PACKAGES,Package Utilities,lib,package-mgmt,Pack/unpack archives and hash verification,/lib/packages.py,active,yes,P0,LIB-PATHS,extension,,1.0.0,system,2026-01-30,,eb0b8e589f41b4bafd33a7e30d34a2a4ac1b180deac34209f85de9264ea5c127,
REG-CP,Control Plane Registry,registry,governance,Declarative dataset listing all governed artifacts and their metadata,/registries/control_plane_registry.csv,active,yes,P0,,extension,,2.0.0,system,2026-01-30,,,
REG-PKG,Packages Registry,registry,package-mgmt,Package metadata for frameworks,/registries/packages_registry.csv,active,yes,P0,REG-CP,extension,,1.0.0,system,2026-01-30,,d1cdbb2a0e3166da77ff9473fc3beb7a7ffda61a22695699e6cebaa8e57db632,
FMWK-100,Agent Development Standard,framework,governance,Minimum viable framework,/frameworks/FMWK-100_agent_development_standard.md,active,yes,P0,,extension,,1.0.0,system,2026-01-30,,c6eb6e86b4cdfac24f055d30dd7ee4166c80a8fadad79d53c9fe906fd1789ade,
FMWK-101,Altitude Depth Standard,framework,governance,Maps altitude levels to depth,/frameworks/FMWK-101_altitude_depth_standard.md,active,yes,P0,FMWK-100,extension,,1.0.0,system,2026-01-30,,3fa8ac765ebf5ab3799c14a1413c2a43071a9911325ab4e78f3fcc345d471c35,
FMWK-102,Altitude Convention Standard,framework,governance,Altitude numbering and criteria,/frameworks/FMWK-102_altitude_convention.md,active,yes,P0,FMWK-101,extension,,1.0.0,system,2026-01-30,,317dc34313c7a1f3fd2ea91e44b17ceff2ffabc4571eb377ed892876ac51da5d,
FMWK-107,Package Management Standard,framework,package-mgmt,Metadata/provenance rules for packages,/frameworks/FMWK-107_package_management_standard.md,active,yes,P0,FMWK-100,extension,,1.1.0,system,2026-01-30,,34e61722037f4fc5aa2ab5d4a2921795a7d18a005887a0c89b62cc2125dad570,
FMWK-200,Ledger Protocol Standard,framework,governance,Ledger protocol with hash chaining,/frameworks/FMWK-200_ledger_protocol.md,active,yes,P0,FMWK-100,extension,,1.0.0,system,2026-01-30,,8d8fbb43b0eba9e4e3037a03f9c5ec94592169278bb4068c036e1d6c81583c47,
LIB-AUTH,Auth Provider,lib,security,Pluggable auth providers,/lib/auth.py,active,yes,P0,,extension,,2.1.0,system,2026-01-30,,c2e249ca243fff0270c83a9c59e7345ff2d9f69a10a46981b88702e04050ec26,
LIB-AUTHZ,AuthZ,lib,security,Role-based authorization helper,/lib/authz.py,active,yes,P0,,extension,,1.0.0,system,2026-01-30,,2a872f4a63202d0ae2c4ccc4a2da85b82a7f2dec3d91f534a039195be9db195b,
DOC-DEV-GUIDE,Developer Guide,doc,governance,How to build/install packages with auth and integrity,/docs/developer_guide.md,active,yes,P1,,extension,,1.0.0,system,2026-01-30,,79e9e8b76e4576dc44f18773976ec62f299d589f5a21fec1c658c2ddecb682dd,
SCRIPT-CP-CKPT,Checkpoint Script,script,governance,Create control plane checkpoints,/scripts/cp_version_checkpoint.py,active,yes,P1,"LIB-PATHS,LIB-INTEGRITY,LIB-LEDGER,LIB-AUTH,LIB-AUTHZ",extension,,2.0.0,system,2026-01-30,,7421b63a46ab0a5bf58a76f7eae754d2a1cb51113c65636d9452557173b82006,
SCRIPT-CP-ROLL,Rollback Script,script,governance,Rollback to checkpoint versions,/scripts/cp_version_rollback.py,active,yes,P1,"LIB-PATHS,LIB-INTEGRITY,LIB-LEDGER,LIB-AUTH,LIB-AUTHZ,LIB-PACKAGES",extension,,1.0.0,system,2026-01-30,,9c3870043c85763323d68d0d3c7659fffe6fbe7a6c9b6b6cdf5f6545c476fa1b,
SCRIPT-CP-LIST,List Versions,script,governance,List available checkpoints,/scripts/cp_version_list.py,active,yes,P2,LIB-PATHS,extension,,1.0.0,system,2026-01-31,,b0d3cfede7247236d158f5bd221bc3184f36bc73338ec23d3db1713a10c3bb52,
LIB-PACKAGE-AUDIT,Package Audit,lib,governance,Audit logging for package actions,/lib/package_audit.py,active,yes,P1,LIB-LEDGER,extension,,1.0.0,system,2026-01-31,,35515331e9ef09e053170e548d0b12450813413a6980f0e03e06d3b015fa39c6,
LIB-PRISTINE,Pristine Enforcement,lib,security,Write boundary enforcement for pristine directories,/lib/pristine.py,active,yes,P0,"LIB-PATHS,LIB-LEDGER",extension,,2.1.0,system,2026-01-31,,802ac184498da3b01f618ca564a02fcee49e8d248dac04c6d4173fa8a960a8dd,
LIB-SIGNING,Artifact Signing,lib,security,Detached signature creation and verification,/lib/signing.py,active,yes,P0,"LIB-LEDGER,LIB-PACKAGES",extension,,1.0.0,system,2026-01-31,,d248bb777f231434413bfd53b89c22584182567185c864c33e31d300a96316b7,
